2026-04-16 20:57:27 | llm | default_trace_id | INFO | {"event_id": "0a85be01-7f45-4d27-beb7-55eb23e8b947", "event_type": "llm_call_start", "log_level": "INFO", "timestamp": "2026-04-16T20:57:27.870086+08:00", "module_type": "llm", "module_id": "llm", "module_name": "llm", "status": "success", "message": "Before request chat model, LLM request params ready.", "metadata": {"client_name": "OpenAI client"}, "model_name": "glm-5", "model_provider": "OpenAI", "temperature": 0.6, "top_p": 0.8, "is_stream": false, "extra_params": {}}
2026-04-16 20:57:27 | llm | default_trace_id | INFO | {"event_id": "eca1b7e5-b909-4d1d-aff0-ef81bba091ba", "event_type": "llm_call_start", "log_level": "INFO", "timestamp": "2026-04-16T20:57:27.955493+08:00", "module_type": "llm", "module_id": "llm", "module_name": "llm", "status": "success", "message": "Before create openai client, model client config params ready.", "metadata": {}, "is_stream": false, "timeout": 60.0, "max_retries": 3}
2026-04-16 20:57:37 | llm | default_trace_id | INFO | {"event_id": "ff411f67-7b1e-44d5-93c3-c3f7fa948c01", "event_type": "llm_call_end", "log_level": "INFO", "timestamp": "2026-04-16T20:57:37.958229+08:00", "module_type": "llm", "module_id": "llm", "module_name": "llm", "status": "success", "message": "OpenAI API response received.", "metadata": {"response": "ChatCompletion(id='6d4fac558b224bf2921d6c3fc2163b62', choices=[Choice(finish_reason='tool_calls', index=0, logprobs=None, message=ChatCompletionMessage(content='我来帮您查询北京2026年4月1日的天气情况。', refusal=None, role='assistant', annotations=None, audio=None, function_call=None, tool_calls=[ChatCompletionMessageFunctionToolCall(id='call_bb07900cfbdf43678c6dec8c', function=Function(arguments='{\"location\": \"beijing\", \"date\": \"2026-04-01\"}', name='WeatherReporter'), type='function', index=0)], reasoning_content='用户想要查询北京2026年4月1日的天气。我需要使用WeatherReporter函数来查询天气信息。\\n\\n根据函数定义：\\n- location: 地点 - 用户提供了\"beijing\"\\n- date: 日期 - 用户提供了\"2026-04-01\"\\n\\n这两个参数都是必需的，用户都已经提供了，我可以直接调用函数。'))], created=1776344254, model='glm-5', object='chat.completion', service_tier='default', system_fingerprint=None, usage=CompletionUsage(completion_tokens=110, prompt_tokens=226, total_tokens=336, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=None, audio_tokens=None, reasoning_tokens=72, rejected_prediction_tokens=None), prompt_tokens_details=PromptTokensDetails(audio_tokens=None, cached_tokens=0)))"}, "model_name": "glm-5", "model_provider": "OpenAI", "messages": [{"role": "system", "content": "你是一个AI助手，在适当的时候调用合适的工作流，帮助我完成任务！注意：只需要调用一次工作流后就进行总结，不要重复调用！"}, {"role": "user", "content": "查询一下beijing 2026-04-01这天的天气"}], "tools": [{"type": "function", "function": {"name": "WeatherReporter", "description": "天气查询插件", "parameters": {"type": "object", "properties": {"location": {"description": "地点", "type": "string"}, "date": {"description": "日期", "type": "string"}}, "required": ["location", "date"]}}}], "temperature": 0.6, "top_p": 0.8, "is_stream": false}
2026-04-16 20:57:37 | llm | default_trace_id | INFO | {"event_id": "d2a4f0a7-8eb9-4903-955c-eefaa2b05bde", "event_type": "llm_call_end", "log_level": "INFO", "timestamp": "2026-04-16T20:57:37.960540+08:00", "module_type": "llm", "module_id": "llm", "module_name": "llm", "status": "success", "message": "Before parse response with output parser.", "metadata": {"output_parser": "None"}, "model_name": "glm-5", "model_provider": "OpenAI", "is_stream": false}
2026-04-16 20:57:37 | llm | default_trace_id | INFO | {"event_id": "84a5b161-c0ea-4955-abc2-9e5cd47ae6b7", "event_type": "llm_call_end", "log_level": "INFO", "timestamp": "2026-04-16T20:57:37.961072+08:00", "module_type": "llm", "module_id": "llm", "module_name": "llm", "status": "success", "message": "Before parse content with parser.", "metadata": {}, "model_name": "glm-5", "model_provider": "OpenAI", "response_content": "我来帮您查询北京2026年4月1日的天气情况。", "is_stream": false}
2026-04-16 20:57:37 | llm | default_trace_id | INFO | {"event_id": "a7d2c77b-9cfb-44a7-abe6-adcd697cde9f", "event_type": "llm_call_end", "log_level": "INFO", "timestamp": "2026-04-16T20:57:37.961577+08:00", "module_type": "llm", "module_id": "llm", "module_name": "llm", "status": "success", "message": "Before parse content with parser config.", "metadata": {"parser": "None"}, "model_name": "glm-5", "model_provider": "OpenAI", "is_stream": false}
2026-04-16 20:57:37 | llm | default_trace_id | INFO | {"event_id": "d08ef7ae-9528-474c-8e24-ca95acc81128", "event_type": "llm_call_start", "log_level": "INFO", "timestamp": "2026-04-16T20:57:37.981815+08:00", "module_type": "llm", "module_id": "llm", "module_name": "llm", "status": "success", "message": "Before request chat model, LLM request params ready.", "metadata": {"client_name": "OpenAI client"}, "model_name": "glm-5", "model_provider": "OpenAI", "temperature": 0.6, "top_p": 0.8, "is_stream": false, "extra_params": {}}
2026-04-16 20:57:37 | llm | default_trace_id | INFO | {"event_id": "b4b9ea0e-a7c5-410b-b98b-f2bc6a37aa93", "event_type": "llm_call_start", "log_level": "INFO", "timestamp": "2026-04-16T20:57:37.983007+08:00", "module_type": "llm", "module_id": "llm", "module_name": "llm", "status": "success", "message": "Before create openai client, model client config params ready.", "metadata": {}, "is_stream": false, "timeout": 60.0, "max_retries": 3}
2026-04-16 20:57:48 | llm | default_trace_id | INFO | {"event_id": "8cd34ec2-b693-4084-b070-23f6734491f8", "event_type": "llm_call_end", "log_level": "INFO", "timestamp": "2026-04-16T20:57:48.546677+08:00", "module_type": "llm", "module_id": "llm", "module_name": "llm", "status": "success", "message": "OpenAI API response received.", "metadata": {"response": "ChatCompletion(id='7982762188e84f738f76be8b003dd507', choices=[Choice(finish_reason='stop', index=0, logprobs=None, message=ChatCompletionMessage(content='根据查询结果，2026年4月1日北京的天气情况如下：\\n\\n**天气概况：**\\n- 🌞 天气状况：晴天 (Sunny)\\n- 🌡️ 温度：30°C\\n- 💧 湿度：85%\\n- 💨 风速：30公里/小时\\n\\n那天北京将是一个晴朗的好天气，温度适宜，不过湿度较高，风力也比较明显。适合外出活动，建议注意防晒。', refusal=None, role='assistant', annotations=None, audio=None, function_call=None, tool_calls=None, reasoning_content='查询成功了！根据返回的结果，我可以看到2026年4月1日北京的天气信息：\\n- 天气状况：Sunny（晴天）\\n- 日期：2026-04-01\\n- 湿度：85%\\n- 地点：beijing\\n- 温度：30摄氏度\\n- 风速：30公里/小时\\n\\n现在我需要将这些信息整理并回复给用户。'))], created=1776344262, model='glm-5', object='chat.completion', service_tier='default', system_fingerprint=None, usage=CompletionUsage(completion_tokens=183, prompt_tokens=434, total_tokens=617, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=None, audio_tokens=None, reasoning_tokens=86, rejected_prediction_tokens=None), prompt_tokens_details=PromptTokensDetails(audio_tokens=None, cached_tokens=0)))"}, "model_name": "glm-5", "model_provider": "OpenAI", "messages": [{"role": "system", "content": "你是一个AI助手，在适当的时候调用合适的工作流，帮助我完成任务！注意：只需要调用一次工作流后就进行总结，不要重复调用！"}, {"role": "user", "content": "查询一下beijing 2026-04-01这天的天气"}, {"role": "assistant", "content": "我来帮您查询北京2026年4月1日的天气情况。", "tool_calls": [{"id": "call_bb07900cfbdf43678c6dec8c", "type": "function", "function": {"name": "WeatherReporter", "arguments": "{\"location\": \"beijing\", \"date\": \"2026-04-01\"}"}}]}, {"role": "tool", "content": "{'code': 200, 'data': {'condition': 'Sunny', 'date': '2026-04-01', 'humidity_percent': 85, 'location': 'beijing', 'temperature_celsius': 30, 'wind_speed_kmh': 30}, 'url': 'http://127.0.0.1:8000/?location=beijing&date=2026-04-01', 'headers': {'Server': 'Werkzeug/3.1.8 Python/3.13.12', 'Date': 'Thu, 16 Apr 2026 12:57:37 GMT', 'Content-Type': 'application/json', 'Content-Length': '155', 'Connection': 'close'}, 'reason': 'OK', 'message': 'success'}", "tool_call_id": "call_bb07900cfbdf43678c6dec8c"}], "tools": [{"type": "function", "function": {"name": "WeatherReporter", "description": "天气查询插件", "parameters": {"type": "object", "properties": {"location": {"description": "地点", "type": "string"}, "date": {"description": "日期", "type": "string"}}, "required": ["location", "date"]}}}], "temperature": 0.6, "top_p": 0.8, "is_stream": false}
2026-04-16 20:57:48 | llm | default_trace_id | INFO | {"event_id": "2b1b7802-91c7-4dac-9750-6df9da14b9f8", "event_type": "llm_call_end", "log_level": "INFO", "timestamp": "2026-04-16T20:57:48.574268+08:00", "module_type": "llm", "module_id": "llm", "module_name": "llm", "status": "success", "message": "Before parse response with output parser.", "metadata": {"output_parser": "None"}, "model_name": "glm-5", "model_provider": "OpenAI", "is_stream": false}
2026-04-16 20:57:48 | llm | default_trace_id | INFO | {"event_id": "20c563b1-442e-4517-9314-d612ed2429a7", "event_type": "llm_call_end", "log_level": "INFO", "timestamp": "2026-04-16T20:57:48.575064+08:00", "module_type": "llm", "module_id": "llm", "module_name": "llm", "status": "success", "message": "Before parse content with parser.", "metadata": {}, "model_name": "glm-5", "model_provider": "OpenAI", "response_content": "根据查询结果，2026年4月1日北京的天气情况如下：\n\n**天气概况：**\n- 🌞 天气状况：晴天 (Sunny)\n- 🌡️ 温度：30°C\n- 💧 湿度：85%\n- 💨 风速：30公里/小时\n\n那天北京将是一个晴朗的好天气，温度适宜，不过湿度较高，风力也比较明显。适合外出活动，建议注意防晒。", "is_stream": false}
