2026-04-16 20:57:23 | common | default_trace_id | INFO | Registered connector pool type: default
2026-04-16 20:57:24 | common | default_trace_id | INFO | Registered connector pool type: httpx
2026-04-16 20:57:26 | common | default_trace_id | INFO | Registered query expression support for milvus
2026-04-16 20:57:26 | common | default_trace_id | INFO | Registered query expression support for chroma
2026-04-16 20:57:26 | common | default_trace_id | INFO | Registered parser ExcelParser for .xlsx
2026-04-16 20:57:26 | common | default_trace_id | INFO | Registered parser ExcelParser for .csv
2026-04-16 20:57:26 | common | default_trace_id | INFO | Registered parser ExcelParser for .tsv
2026-04-16 20:57:26 | common | default_trace_id | INFO | Registered parser JSONParser for .json
2026-04-16 20:57:26 | common | default_trace_id | INFO | Registered parser PDFParser for .pdf
2026-04-16 20:57:26 | common | default_trace_id | INFO | Registered parser TxtMdParser for .txt
2026-04-16 20:57:26 | common | default_trace_id | INFO | Registered parser TxtMdParser for .md
2026-04-16 20:57:26 | common | default_trace_id | INFO | Registered parser TxtMdParser for .markdown
2026-04-16 20:57:26 | common | default_trace_id | INFO | Registered parser WordParser for .docx
2026-04-16 20:57:26 | common | default_trace_id | INFO | Registered parser ImageParser for .png
2026-04-16 20:57:26 | common | default_trace_id | INFO | Registered parser ImageParser for .jpg
2026-04-16 20:57:26 | common | default_trace_id | INFO | Registered parser ImageParser for .jpeg
2026-04-16 20:57:26 | common | default_trace_id | INFO | Registered parser ImageParser for .webp
2026-04-16 20:57:26 | common | default_trace_id | INFO | Registered parser ImageParser for .gif
2026-04-16 20:57:26 | common | default_trace_id | INFO | Registered parser ImageParser for .jfif
2026-04-16 20:57:27 | common | default_trace_id | INFO | Added GLOBAL tag to resource. resource_id=weather_tool, changed from [] to [GLOBAL]
2026-04-16 20:57:27 | common | default_trace_id | INFO | ReAct iteration 1/5
2026-04-16 20:57:27 | common | default_trace_id | INFO | [LLM] >>> request: msg_count=2, tool_count=1
2026-04-16 20:57:37 | common | default_trace_id | INFO | [LLM] <<< response: content_len=23, tool_call_count=1, tokens={input=226, output=110}
2026-04-16 20:57:37 | common | default_trace_id | INFO | Executing tool: WeatherReporter with args: {"location": "beijing", "date": "2026-04-01"}
2026-04-16 20:57:37 | common | default_trace_id | INFO | ReAct iteration 2/5
2026-04-16 20:57:37 | common | default_trace_id | INFO | [LLM] >>> request: msg_count=4, tool_count=1
2026-04-16 20:57:48 | common | default_trace_id | INFO | [LLM] <<< response: content_len=147, tool_call_count=0, tokens={input=434, output=183}
2026-04-16 21:02:40 | common | default_trace_id | INFO | Registered connector pool type: default
2026-04-16 21:02:41 | common | default_trace_id | INFO | Registered connector pool type: httpx
2026-04-16 21:02:42 | common | default_trace_id | INFO | Registered query expression support for milvus
2026-04-16 21:02:42 | common | default_trace_id | INFO | Registered query expression support for chroma
2026-04-16 21:02:42 | common | default_trace_id | INFO | Registered parser ExcelParser for .xlsx
2026-04-16 21:02:42 | common | default_trace_id | INFO | Registered parser ExcelParser for .csv
2026-04-16 21:02:42 | common | default_trace_id | INFO | Registered parser ExcelParser for .tsv
2026-04-16 21:02:42 | common | default_trace_id | INFO | Registered parser JSONParser for .json
2026-04-16 21:02:42 | common | default_trace_id | INFO | Registered parser PDFParser for .pdf
2026-04-16 21:02:42 | common | default_trace_id | INFO | Registered parser TxtMdParser for .txt
2026-04-16 21:02:42 | common | default_trace_id | INFO | Registered parser TxtMdParser for .md
2026-04-16 21:02:42 | common | default_trace_id | INFO | Registered parser TxtMdParser for .markdown
2026-04-16 21:02:42 | common | default_trace_id | INFO | Registered parser WordParser for .docx
2026-04-16 21:02:42 | common | default_trace_id | INFO | Registered parser ImageParser for .png
2026-04-16 21:02:42 | common | default_trace_id | INFO | Registered parser ImageParser for .jpg
2026-04-16 21:02:42 | common | default_trace_id | INFO | Registered parser ImageParser for .jpeg
2026-04-16 21:02:42 | common | default_trace_id | INFO | Registered parser ImageParser for .webp
2026-04-16 21:02:42 | common | default_trace_id | INFO | Registered parser ImageParser for .gif
2026-04-16 21:02:42 | common | default_trace_id | INFO | Registered parser ImageParser for .jfif
2026-04-16 21:02:43 | common | default_trace_id | INFO | Using custom header and query authorization for WeatherMCPServer
2026-04-16 21:02:44 | common | default_trace_id | INFO | SSE client connected successfully to http://127.0.0.1:8002/sse
2026-04-16 21:02:44 | common | default_trace_id | INFO | Retrieved 1 tools from SSE server
2026-04-16 21:02:44 | common | default_trace_id | INFO | Added GLOBAL tag to resource. resource_id=55c36c408f7749a4b5988372dd0bfe87, changed from [] to [GLOBAL]
2026-04-16 21:02:44 | common | default_trace_id | INFO | ReAct iteration 1/5
2026-04-16 21:02:44 | common | default_trace_id | INFO | [LLM] >>> request: msg_count=2, tool_count=1
2026-04-16 21:02:53 | common | default_trace_id | INFO | [LLM] <<< response: content_len=16, tool_call_count=1, tokens={input=269, output=47}
2026-04-16 21:02:53 | common | default_trace_id | INFO | Executing tool: get_weather with args: {"location": "北京"}
2026-04-16 21:02:53 | common | default_trace_id | INFO | Calling tool 'get_weather' via SSE with arguments: {'location': '北京'}
2026-04-16 21:02:53 | common | default_trace_id | INFO | Tool 'get_weather' call completed via SSE
2026-04-16 21:02:53 | common | default_trace_id | INFO | ReAct iteration 2/5
2026-04-16 21:02:53 | common | default_trace_id | INFO | [LLM] >>> request: msg_count=4, tool_count=1
