2026-05-17 15:16:36 | graph | default_trace_id | INFO | {"event_id": "1a49797d-3b91-44e1-8f56-951a62630e38", "event_type": "graph_vertex_init", "log_level": "INFO", "timestamp": "2026-05-17T15:16:36.823373+08:00", "module_type": "system", "module_id": "graph", "module_name": "graph", "status": "success", "message": "Initialized node [start], abilities is ['invoke']", "metadata": {}, "graph_id": "368cba738a9b42d7bedb7d7a5fa8a99b", "node_id": "start"}
2026-05-17 15:16:36 | graph | default_trace_id | INFO | {"event_id": "3e9ec8e1-2894-4b21-a9de-213ae34169a7", "event_type": "graph_vertex_init", "log_level": "INFO", "timestamp": "2026-05-17T15:16:36.823719+08:00", "module_type": "system", "module_id": "graph", "module_name": "graph", "status": "success", "message": "Initialized node [end], abilities is ['invoke']", "metadata": {}, "graph_id": "368cba738a9b42d7bedb7d7a5fa8a99b", "node_id": "end"}
2026-05-17 15:16:36 | graph | default_trace_id | INFO | {"event_id": "e0905785-3bcb-44c5-9d7f-5146201ed3d4", "event_type": "graph_vertex_init", "log_level": "INFO", "timestamp": "2026-05-17T15:16:36.824190+08:00", "module_type": "system", "module_id": "graph", "module_name": "graph", "status": "success", "message": "Initialized node [think_comp], abilities is ['invoke']", "metadata": {}, "graph_id": "368cba738a9b42d7bedb7d7a5fa8a99b", "node_id": "think_comp"}
2026-05-17 15:16:36 | graph | default_trace_id | INFO | {"event_id": "523ba4c3-6dd6-4d16-8708-7154bd302ece", "event_type": "graph_start", "log_level": "INFO", "timestamp": "2026-05-17T15:16:36.828526+08:00", "module_type": "system", "module_id": "graph", "module_name": "graph", "session_id": "7ed0be7c-38bb-47b3-95c2-d252628e964d", "status": "success", "message": "Pregel graph engine execution started", "metadata": {"is_top_level": true}, "graph_id": "368cba738a9b42d7bedb7d7a5fa8a99b"}
2026-05-17 15:16:36 | graph | default_trace_id | INFO | {"event_id": "1596820f-74dd-48a0-9f2f-3ebdbdaaecd5", "event_type": "graph_vertex_call_start", "log_level": "INFO", "timestamp": "2026-05-17T15:16:36.830335+08:00", "module_type": "system", "module_id": "graph", "module_name": "graph", "status": "success", "message": "Begin to call batch-in node [start]", "metadata": {}, "graph_id": "368cba738a9b42d7bedb7d7a5fa8a99b", "node_id": "start"}
2026-05-17 15:16:36 | graph | default_trace_id | INFO | {"event_id": "0367be0b-5e16-44d9-b349-f80f6b5bc13e", "event_type": "graph_vertex_ability_start", "log_level": "INFO", "timestamp": "2026-05-17T15:16:36.830656+08:00", "module_type": "system", "module_id": "graph", "module_name": "graph", "status": "success", "message": "Begin to call node [start] ability [invoke]", "metadata": {}, "graph_id": "368cba738a9b42d7bedb7d7a5fa8a99b", "node_id": "start"}
2026-05-17 15:16:36 | graph | default_trace_id | INFO | {"event_id": "dedea1c8-f53c-45cf-8427-41fca0fd95f0", "event_type": "graph_vertex_ability_end", "log_level": "INFO", "timestamp": "2026-05-17T15:16:36.831512+08:00", "module_type": "system", "module_id": "graph", "module_name": "graph", "status": "success", "message": "Succeed to call node [start] ability [invoke]", "metadata": {}, "graph_id": "368cba738a9b42d7bedb7d7a5fa8a99b", "node_id": "start"}
2026-05-17 15:16:36 | graph | default_trace_id | INFO | {"event_id": "4bbfa18e-e67a-417b-92f3-7c6adb6502f8", "event_type": "graph_vertex_call_end", "log_level": "INFO", "timestamp": "2026-05-17T15:16:36.831827+08:00", "module_type": "system", "module_id": "graph", "module_name": "graph", "status": "success", "message": "Succeed to call batch-in node [start]", "metadata": {}, "graph_id": "368cba738a9b42d7bedb7d7a5fa8a99b", "node_id": "start"}
2026-05-17 15:16:36 | graph | default_trace_id | INFO | {"event_id": "77a22961-fe3b-4015-8e9f-c8c7e654a639", "event_type": "graph_vertex_call_start", "log_level": "INFO", "timestamp": "2026-05-17T15:16:36.832562+08:00", "module_type": "system", "module_id": "graph", "module_name": "graph", "status": "success", "message": "Begin to call batch-in node [think_comp]", "metadata": {}, "graph_id": "368cba738a9b42d7bedb7d7a5fa8a99b", "node_id": "think_comp"}
2026-05-17 15:16:36 | graph | default_trace_id | INFO | {"event_id": "123cdd83-8250-4b48-94ab-f9c32b326560", "event_type": "graph_vertex_ability_start", "log_level": "INFO", "timestamp": "2026-05-17T15:16:36.832862+08:00", "module_type": "system", "module_id": "graph", "module_name": "graph", "status": "success", "message": "Begin to call node [think_comp] ability [invoke]", "metadata": {}, "graph_id": "368cba738a9b42d7bedb7d7a5fa8a99b", "node_id": "think_comp"}
2026-05-17 15:16:36 | graph | default_trace_id | INFO | {"event_id": "502c58d9-4a74-4ab5-94c7-b9ab230e9d08", "event_type": "graph_vertex_ability_end", "log_level": "INFO", "timestamp": "2026-05-17T15:16:36.834065+08:00", "module_type": "system", "module_id": "graph", "module_name": "graph", "status": "success", "message": "Succeed to call node [think_comp] ability [invoke]", "metadata": {}, "graph_id": "368cba738a9b42d7bedb7d7a5fa8a99b", "node_id": "think_comp"}
2026-05-17 15:16:36 | graph | default_trace_id | INFO | {"event_id": "9115841a-efa7-42ae-9eef-89469f4f9b2e", "event_type": "graph_vertex_call_end", "log_level": "INFO", "timestamp": "2026-05-17T15:16:36.834335+08:00", "module_type": "system", "module_id": "graph", "module_name": "graph", "status": "success", "message": "Succeed to call batch-in node [think_comp]", "metadata": {}, "graph_id": "368cba738a9b42d7bedb7d7a5fa8a99b", "node_id": "think_comp"}
2026-05-17 15:16:36 | graph | default_trace_id | INFO | {"event_id": "6c4ba61c-557d-4a64-b311-2c3291343a49", "event_type": "graph_vertex_call_start", "log_level": "INFO", "timestamp": "2026-05-17T15:16:36.835611+08:00", "module_type": "system", "module_id": "graph", "module_name": "graph", "status": "success", "message": "Begin to call batch-in node [end]", "metadata": {}, "graph_id": "368cba738a9b42d7bedb7d7a5fa8a99b", "node_id": "end"}
2026-05-17 15:16:36 | graph | default_trace_id | INFO | {"event_id": "b46e9bb0-52a1-45dd-9b56-aba7f906267b", "event_type": "graph_vertex_ability_start", "log_level": "INFO", "timestamp": "2026-05-17T15:16:36.835855+08:00", "module_type": "system", "module_id": "graph", "module_name": "graph", "status": "success", "message": "Begin to call node [end] ability [invoke]", "metadata": {}, "graph_id": "368cba738a9b42d7bedb7d7a5fa8a99b", "node_id": "end"}
2026-05-17 15:16:36 | graph | default_trace_id | INFO | {"event_id": "a800139e-4513-4bdc-84f6-06590d0fbcca", "event_type": "graph_vertex_ability_end", "log_level": "INFO", "timestamp": "2026-05-17T15:16:36.836605+08:00", "module_type": "system", "module_id": "graph", "module_name": "graph", "status": "success", "message": "Succeed to call node [end] ability [invoke]", "metadata": {}, "graph_id": "368cba738a9b42d7bedb7d7a5fa8a99b", "node_id": "end"}
2026-05-17 15:16:36 | graph | default_trace_id | INFO | {"event_id": "83a82db9-1c4c-449c-a021-943a9085b423", "event_type": "graph_vertex_call_end", "log_level": "INFO", "timestamp": "2026-05-17T15:16:36.836831+08:00", "module_type": "system", "module_id": "graph", "module_name": "graph", "status": "success", "message": "Succeed to call batch-in node [end]", "metadata": {}, "graph_id": "368cba738a9b42d7bedb7d7a5fa8a99b", "node_id": "end"}
2026-05-17 15:16:36 | graph | default_trace_id | INFO | {"event_id": "441195ea-36b5-4426-b493-be167c5acd9a", "event_type": "graph_end", "log_level": "INFO", "timestamp": "2026-05-17T15:16:36.837392+08:00", "module_type": "system", "module_id": "graph", "module_name": "graph", "session_id": "7ed0be7c-38bb-47b3-95c2-d252628e964d", "status": "success", "message": "Pregel graph engine execution completed", "metadata": {"total_steps": 4}, "graph_id": "368cba738a9b42d7bedb7d7a5fa8a99b"}
2026-05-17 15:16:36 | graph | default_trace_id | INFO | {"event_id": "7f54cddb-ff85-4594-81ad-7eb640c8805c", "event_type": "graph_vertex_init", "log_level": "INFO", "timestamp": "2026-05-17T15:16:36.840650+08:00", "module_type": "system", "module_id": "graph", "module_name": "graph", "status": "success", "message": "Initialized node [start], abilities is ['invoke']", "metadata": {}, "graph_id": "ae4ec23f09944897bcfb12deddd7a087", "node_id": "start"}
