2026-04-16 14:05:00 | common | default_trace_id | INFO | Registered connector pool type: default
2026-04-16 14:05:00 | common | default_trace_id | INFO | Registered connector pool type: httpx
2026-04-16 14:05:04 | common | default_trace_id | INFO | Registered query expression support for milvus
2026-04-16 14:05:04 | common | default_trace_id | INFO | Registered query expression support for chroma
2026-04-16 14:05:04 | common | default_trace_id | INFO | Registered parser ExcelParser for .xlsx
2026-04-16 14:05:04 | common | default_trace_id | INFO | Registered parser ExcelParser for .csv
2026-04-16 14:05:04 | common | default_trace_id | INFO | Registered parser ExcelParser for .tsv
2026-04-16 14:05:04 | common | default_trace_id | INFO | Registered parser JSONParser for .json
2026-04-16 14:05:05 | common | default_trace_id | INFO | Registered parser PDFParser for .pdf
2026-04-16 14:05:05 | common | default_trace_id | INFO | Registered parser TxtMdParser for .txt
2026-04-16 14:05:05 | common | default_trace_id | INFO | Registered parser TxtMdParser for .md
2026-04-16 14:05:05 | common | default_trace_id | INFO | Registered parser TxtMdParser for .markdown
2026-04-16 14:05:05 | common | default_trace_id | INFO | Registered parser WordParser for .docx
2026-04-16 14:05:05 | common | default_trace_id | INFO | Registered parser ImageParser for .png
2026-04-16 14:05:05 | common | default_trace_id | INFO | Registered parser ImageParser for .jpg
2026-04-16 14:05:05 | common | default_trace_id | INFO | Registered parser ImageParser for .jpeg
2026-04-16 14:05:05 | common | default_trace_id | INFO | Registered parser ImageParser for .webp
2026-04-16 14:05:05 | common | default_trace_id | INFO | Registered parser ImageParser for .gif
2026-04-16 14:05:05 | common | default_trace_id | INFO | Registered parser ImageParser for .jfif
2026-04-16 14:05:09 | common | default_trace_id | INFO | Using custom header and query authorization for McpSseServer
2026-04-16 14:05:12 | common | default_trace_id | ERROR | SSE connection failed to http://127.0.0.1:8001/: unhandled errors in a TaskGroup (1 sub-exception)
2026-04-16 14:05:12 | common | default_trace_id | INFO | SSE client disconnected successfully
2026-04-16 20:30:18 | common | default_trace_id | INFO | Registered connector pool type: default
2026-04-16 20:30:18 | common | default_trace_id | INFO | Registered connector pool type: httpx
2026-04-16 20:30:21 | common | default_trace_id | INFO | Registered query expression support for milvus
2026-04-16 20:30:21 | common | default_trace_id | INFO | Registered query expression support for chroma
2026-04-16 20:30:21 | common | default_trace_id | INFO | Registered parser ExcelParser for .xlsx
2026-04-16 20:30:21 | common | default_trace_id | INFO | Registered parser ExcelParser for .csv
2026-04-16 20:30:21 | common | default_trace_id | INFO | Registered parser ExcelParser for .tsv
2026-04-16 20:30:21 | common | default_trace_id | INFO | Registered parser JSONParser for .json
2026-04-16 20:30:21 | common | default_trace_id | INFO | Registered parser PDFParser for .pdf
2026-04-16 20:30:21 | common | default_trace_id | INFO | Registered parser TxtMdParser for .txt
2026-04-16 20:30:21 | common | default_trace_id | INFO | Registered parser TxtMdParser for .md
2026-04-16 20:30:21 | common | default_trace_id | INFO | Registered parser TxtMdParser for .markdown
2026-04-16 20:30:22 | common | default_trace_id | INFO | Registered parser WordParser for .docx
2026-04-16 20:30:22 | common | default_trace_id | INFO | Registered parser ImageParser for .png
2026-04-16 20:30:22 | common | default_trace_id | INFO | Registered parser ImageParser for .jpg
2026-04-16 20:30:22 | common | default_trace_id | INFO | Registered parser ImageParser for .jpeg
2026-04-16 20:30:22 | common | default_trace_id | INFO | Registered parser ImageParser for .webp
2026-04-16 20:30:22 | common | default_trace_id | INFO | Registered parser ImageParser for .gif
2026-04-16 20:30:22 | common | default_trace_id | INFO | Registered parser ImageParser for .jfif
2026-04-16 20:30:23 | common | default_trace_id | INFO | Using custom header and query authorization for WeatherMCPServer
2026-04-16 20:30:24 | common | default_trace_id | INFO | SSE client connected successfully to http://127.0.0.1:8002/sse
2026-04-16 20:30:24 | common | default_trace_id | ERROR | Failed to list tools via SSE: 
2026-04-16 20:31:37 | common | default_trace_id | INFO | Registered connector pool type: default
2026-04-16 20:31:37 | common | default_trace_id | INFO | Registered connector pool type: httpx
2026-04-16 20:31:40 | common | default_trace_id | INFO | Registered query expression support for milvus
2026-04-16 20:31:40 | common | default_trace_id | INFO | Registered query expression support for chroma
2026-04-16 20:31:40 | common | default_trace_id | INFO | Registered parser ExcelParser for .xlsx
2026-04-16 20:31:40 | common | default_trace_id | INFO | Registered parser ExcelParser for .csv
2026-04-16 20:31:40 | common | default_trace_id | INFO | Registered parser ExcelParser for .tsv
2026-04-16 20:31:40 | common | default_trace_id | INFO | Registered parser JSONParser for .json
2026-04-16 20:31:40 | common | default_trace_id | INFO | Registered parser PDFParser for .pdf
2026-04-16 20:31:40 | common | default_trace_id | INFO | Registered parser TxtMdParser for .txt
2026-04-16 20:31:40 | common | default_trace_id | INFO | Registered parser TxtMdParser for .md
2026-04-16 20:31:40 | common | default_trace_id | INFO | Registered parser TxtMdParser for .markdown
2026-04-16 20:31:40 | common | default_trace_id | INFO | Registered parser WordParser for .docx
2026-04-16 20:31:40 | common | default_trace_id | INFO | Registered parser ImageParser for .png
2026-04-16 20:31:40 | common | default_trace_id | INFO | Registered parser ImageParser for .jpg
2026-04-16 20:31:40 | common | default_trace_id | INFO | Registered parser ImageParser for .jpeg
2026-04-16 20:31:40 | common | default_trace_id | INFO | Registered parser ImageParser for .webp
2026-04-16 20:31:40 | common | default_trace_id | INFO | Registered parser ImageParser for .gif
2026-04-16 20:31:40 | common | default_trace_id | INFO | Registered parser ImageParser for .jfif
2026-04-16 20:31:41 | common | default_trace_id | INFO | Using custom header and query authorization for WeatherMCPServer
2026-04-16 20:31:42 | common | default_trace_id | INFO | SSE client connected successfully to http://127.0.0.1:8002/sse
2026-04-16 20:31:42 | common | default_trace_id | INFO | Retrieved 1 tools from SSE server
2026-04-16 20:31:42 | common | default_trace_id | INFO | Calling tool 'get_weather' via SSE with arguments: {'location': 'beijing'}
2026-04-16 20:31:42 | common | default_trace_id | INFO | Tool 'get_weather' call completed via SSE
2026-04-16 20:31:42 | common | default_trace_id | INFO | SSE client disconnected successfully
