2026-04-18 21:20:09 | memory | default_trace_id | INFO | {"event_id": "90ec01b3-2fee-4a91-9db3-ca359af66c62", "event_type": "memory_init", "log_level": "INFO", "timestamp": "2026-04-18T21:20:09.066720+08:00", "module_type": "memory", "module_id": "memory", "module_name": "memory", "status": "success", "message": "Starting kv store migration", "metadata": {}}
2026-04-18 21:20:09 | memory | default_trace_id | INFO | {"event_id": "c3517982-6bba-4bc4-94fc-74734aa27006", "event_type": "memory_init", "log_level": "INFO", "timestamp": "2026-04-18T21:20:09.067485+08:00", "module_type": "memory", "module_id": "memory", "module_name": "memory", "status": "success", "message": "No kv store migrations registered, skipping migration process", "metadata": {}}
2026-04-18 21:20:09 | memory | default_trace_id | INFO | {"event_id": "24c1880f-7943-4097-81e4-0c3fadd48f4f", "event_type": "memory_init", "log_level": "INFO", "timestamp": "2026-04-18T21:20:09.068334+08:00", "module_type": "memory", "module_id": "memory", "module_name": "memory", "status": "success", "message": "kv store migration completed successfully", "metadata": {}}
2026-04-18 21:20:09 | memory | default_trace_id | INFO | {"event_id": "53eb3476-1b2e-462a-8d16-0b7b4ded1aa9", "event_type": "memory_init", "log_level": "INFO", "timestamp": "2026-04-18T21:20:09.068975+08:00", "module_type": "memory", "module_id": "memory", "module_name": "memory", "status": "success", "message": "Starting vector store migration", "metadata": {}}
2026-04-18 21:20:09 | memory | default_trace_id | INFO | {"event_id": "0d9c72e7-f36e-4596-8f0b-2be9f5b2b52c", "event_type": "memory_init", "log_level": "INFO", "timestamp": "2026-04-18T21:20:09.069552+08:00", "module_type": "memory", "module_id": "memory", "module_name": "memory", "status": "success", "message": "No vector store migrations registered, skipping migration process", "metadata": {}}
2026-04-18 21:20:09 | memory | default_trace_id | INFO | {"event_id": "268b92c9-fe53-43c2-88df-c84c16f54e5b", "event_type": "memory_init", "log_level": "INFO", "timestamp": "2026-04-18T21:20:09.070111+08:00", "module_type": "memory", "module_id": "memory", "module_name": "memory", "status": "success", "message": "vector store migration completed successfully", "metadata": {}}
2026-04-18 21:20:09 | memory | default_trace_id | INFO | {"event_id": "aa1b7607-a477-4616-9383-831a299b1417", "event_type": "memory_init", "log_level": "INFO", "timestamp": "2026-04-18T21:20:09.070616+08:00", "module_type": "memory", "module_id": "memory", "module_name": "memory", "status": "success", "message": "Starting db store migration", "metadata": {}}
2026-04-18 21:20:09 | memory | default_trace_id | INFO | {"event_id": "4586f975-6a66-48fc-ba6d-36fc9922b2f3", "event_type": "memory_init", "log_level": "INFO", "timestamp": "2026-04-18T21:20:09.071180+08:00", "module_type": "memory", "module_id": "memory", "module_name": "memory", "status": "success", "message": "No db store migrations registered, skipping migration process", "metadata": {}}
2026-04-18 21:20:09 | memory | default_trace_id | INFO | {"event_id": "390cc6fb-2ccf-4174-8906-53eea18d875a", "event_type": "memory_init", "log_level": "INFO", "timestamp": "2026-04-18T21:20:09.071722+08:00", "module_type": "memory", "module_id": "memory", "module_name": "memory", "status": "success", "message": "db store migration completed successfully", "metadata": {}}
2026-04-18 21:20:09 | memory | default_trace_id | INFO | PromptApplier singleton initialized
2026-04-18 21:20:09 | memory | default_trace_id | INFO | Loaded and cached prompt template: memory_analysis_prompt
2026-04-18 21:20:20 | memory | default_trace_id | INFO | Loaded and cached prompt template: fragment_memory_prompt
2026-04-18 21:20:31 | memory | default_trace_id | INFO | {"event_id": "ea351a90-5c11-4c7d-99cd-ac80c53c48c4", "event_type": "memory_process", "log_level": "INFO", "timestamp": "2026-04-18T21:20:31.859079+08:00", "module_type": "memory", "module_id": "memory", "module_name": "memory", "status": "success", "message": "Memory units generated successfully", "metadata": {"all_memory_result": {"variable": [{"mem_type": "variable", "mem_id": "", "variable_name": "姓名", "variable_mem": "张三"}, {"mem_type": "variable", "mem_id": "", "variable_name": "职业", "variable_mem": "软件工程师"}, {"mem_type": "variable", "mem_id": "", "variable_name": "居住地", "variable_mem": "杭州"}, {"mem_type": "variable", "mem_id": "", "variable_name": "爱好", "variable_mem": "打羽毛球和看电影"}, {"mem_type": "variable", "mem_id": "", "variable_name": "年龄", "variable_mem": "25岁"}], "summary": [{"mem_type": "summary", "mem_id": "019da0bfd7e27b86d42c02a8", "summary": "用户张三自我介绍，其年龄为25岁，职业为软件工程师，目前在杭州工作，爱好是打羽毛球和看电影。", "message_mem_id": "019da0bfabcce635e22c02a8", "timestamp": "2026-04-18 13:20:09"}], "user_profile": [{"mem_type": "user_profile", "mem_id": "019da0c00472a9155b2c02a8", "content": "用户的名字是张三", "message_mem_id": "019da0bfabcce635e22c02a8", "timestamp": "2026-04-18 13:20:09"}, {"mem_type": "user_profile", "mem_id": "019da0c00472749b662c02a8", "content": "用户的年龄是25岁", "message_mem_id": "019da0bfabcce635e22c02a8", "timestamp": "2026-04-18 13:20:09"}, {"mem_type": "user_profile", "mem_id": "019da0c004724c06ea2c02a8", "content": "用户的职业是软件工程师", "message_mem_id": "019da0bfabcce635e22c02a8", "timestamp": "2026-04-18 13:20:09"}, {"mem_type": "user_profile", "mem_id": "019da0c004729257ca2c02a8", "content": "用户的工作地点在杭州", "message_mem_id": "019da0bfabcce635e22c02a8", "timestamp": "2026-04-18 13:20:09"}, {"mem_type": "user_profile", "mem_id": "019da0c00472c20d332c02a8", "content": "用户喜欢打羽毛球", "message_mem_id": "019da0bfabcce635e22c02a8", "timestamp": "2026-04-18 13:20:09"}, {"mem_type": "user_profile", "mem_id": "019da0c004725609122c02a8", "content": "用户喜欢看电影", "message_mem_id": "019da0bfabcce635e22c02a8", "timestamp": "2026-04-18 13:20:09"}]}}, "user_id": "demo_user_001", "scope_id": "demo_scope_001"}
